01/05/2025 16:26:55 Training is starting...
01/05/2025 16:28:37 Epoch 0 val_loss: 13.16795444
01/05/2025 16:28:37 Best validation loss achieved, saving state_dict of model to lightning_logs/cutoff_4.020250501_162620_cace_dipep_c4_dipolar/best_model_state.pth...
01/05/2025 16:28:37 Epoch 0 train_e: 0.01695178
01/05/2025 16:28:37 Epoch 0 train_f: 0.09779072
01/05/2025 16:28:37 Epoch 0 train_e_rmse: 0.01695178
01/05/2025 16:28:37 Epoch 0 train_f_rmse: 0.09779072
01/05/2025 16:28:37 Epoch 0 lr-Adam: 0.01000000
01/05/2025 16:28:37 Epoch 0 val_e_rmse: 0.02399251
01/05/2025 16:28:37 Epoch 0 val_f_rmse: 0.10902249
01/05/2025 16:30:19 Epoch 1 val_loss: 6.41827869
01/05/2025 16:30:19 Best validation loss achieved, saving state_dict of model to lightning_logs/cutoff_4.020250501_162620_cace_dipep_c4_dipolar/best_model_state.pth...
01/05/2025 16:30:19 Epoch 1 train_e: 0.01172727
01/05/2025 16:30:19 Epoch 1 train_f: 0.07457893
01/05/2025 16:30:19 Epoch 1 train_e_rmse: 0.01172727
01/05/2025 16:30:19 Epoch 1 train_f_rmse: 0.07457893
01/05/2025 16:30:19 Epoch 1 lr-Adam: 0.01000000
01/05/2025 16:30:19 Epoch 1 val_e_rmse: 0.00536370
01/05/2025 16:30:19 Epoch 1 val_f_rmse: 0.07932758
01/05/2025 16:32:02 Epoch 2 val_loss: 6.95488024
01/05/2025 16:32:02 Epoch 2 train_e: 0.02237378
01/05/2025 16:32:02 Epoch 2 train_f: 0.06407640
01/05/2025 16:32:02 Epoch 2 train_e_rmse: 0.02237378
01/05/2025 16:32:02 Epoch 2 train_f_rmse: 0.06407640
01/05/2025 16:32:02 Epoch 2 lr-Adam: 0.01000000
01/05/2025 16:32:02 Epoch 2 val_e_rmse: 0.00879359
01/05/2025 16:32:02 Epoch 2 val_f_rmse: 0.08203979
01/05/2025 16:33:44 Epoch 3 val_loss: 8.14997196
01/05/2025 16:33:44 Epoch 3 train_e: 0.00366934
01/05/2025 16:33:44 Epoch 3 train_f: 0.08440616
01/05/2025 16:33:44 Epoch 3 train_e_rmse: 0.00366934
01/05/2025 16:33:44 Epoch 3 train_f_rmse: 0.08440616
01/05/2025 16:33:44 Epoch 3 lr-Adam: 0.01000000
01/05/2025 16:33:44 Epoch 3 val_e_rmse: 0.00441183
01/05/2025 16:33:44 Epoch 3 val_f_rmse: 0.08974127
01/05/2025 16:35:27 Epoch 4 val_loss: 8.38584423
01/05/2025 16:35:27 Epoch 4 train_e: 0.00947351
01/05/2025 16:35:27 Epoch 4 train_f: 0.09312002
01/05/2025 16:35:27 Epoch 4 train_e_rmse: 0.00947351
01/05/2025 16:35:27 Epoch 4 train_f_rmse: 0.09312002
01/05/2025 16:35:27 Epoch 4 lr-Adam: 0.01000000
01/05/2025 16:35:27 Epoch 4 val_e_rmse: 0.02268886
01/05/2025 16:35:27 Epoch 4 val_f_rmse: 0.08504730
01/05/2025 16:37:10 Epoch 5 val_loss: 7.08389568
01/05/2025 16:37:10 Epoch 5 train_e: 0.01154555
01/05/2025 16:37:10 Epoch 5 train_f: 0.06220009
01/05/2025 16:37:10 Epoch 5 train_e_rmse: 0.01154555
01/05/2025 16:37:10 Epoch 5 train_f_rmse: 0.06220009
01/05/2025 16:37:10 Epoch 5 lr-Adam: 0.01000000
01/05/2025 16:37:10 Epoch 5 val_e_rmse: 0.00630730
01/05/2025 16:37:10 Epoch 5 val_f_rmse: 0.08324305
01/05/2025 16:38:53 Epoch 6 val_loss: 5.90493774
01/05/2025 16:38:53 Best validation loss achieved, saving state_dict of model to lightning_logs/cutoff_4.020250501_162620_cace_dipep_c4_dipolar/best_model_state.pth...
01/05/2025 16:38:53 Epoch 6 train_e: 0.00110676
01/05/2025 16:38:53 Epoch 6 train_f: 0.07979988
01/05/2025 16:38:53 Epoch 6 train_e_rmse: 0.00110676
01/05/2025 16:38:53 Epoch 6 train_f_rmse: 0.07979988
01/05/2025 16:38:53 Epoch 6 lr-Adam: 0.01000000
01/05/2025 16:38:53 Epoch 6 val_e_rmse: 0.00297322
01/05/2025 16:38:53 Epoch 6 val_f_rmse: 0.07614828
01/05/2025 16:40:36 Epoch 7 val_loss: 6.82624531
01/05/2025 16:40:36 Epoch 7 train_e: 0.01012199
01/05/2025 16:40:36 Epoch 7 train_f: 0.07043536
01/05/2025 16:40:36 Epoch 7 train_e_rmse: 0.01012199
01/05/2025 16:40:36 Epoch 7 train_f_rmse: 0.07043536
01/05/2025 16:40:36 Epoch 7 lr-Adam: 0.01000000
01/05/2025 16:40:36 Epoch 7 val_e_rmse: 0.01358273
01/05/2025 16:40:36 Epoch 7 val_f_rmse: 0.07989036
01/05/2025 16:42:19 Epoch 8 val_loss: 7.34557056
01/05/2025 16:42:19 Epoch 8 train_e: 0.04438011
01/05/2025 16:42:19 Epoch 8 train_f: 0.07103964
01/05/2025 16:42:19 Epoch 8 train_e_rmse: 0.04438011
01/05/2025 16:42:19 Epoch 8 train_f_rmse: 0.07103964
01/05/2025 16:42:19 Epoch 8 lr-Adam: 0.01000000
01/05/2025 16:42:19 Epoch 8 val_e_rmse: 0.01100671
01/05/2025 16:42:19 Epoch 8 val_f_rmse: 0.08392124
01/05/2025 16:44:02 Epoch 9 val_loss: 6.24104834
01/05/2025 16:44:02 Epoch 9 train_e: 0.02851581
01/05/2025 16:44:02 Epoch 9 train_f: 0.05149598
01/05/2025 16:44:02 Epoch 9 train_e_rmse: 0.02851581
01/05/2025 16:44:02 Epoch 9 train_f_rmse: 0.05149598
01/05/2025 16:44:02 Epoch 9 lr-Adam: 0.01000000
01/05/2025 16:44:02 Epoch 9 val_e_rmse: 0.02575828
01/05/2025 16:44:02 Epoch 9 val_f_rmse: 0.06907584
01/05/2025 16:45:45 Epoch 10 val_loss: 4.84548378
01/05/2025 16:45:45 Best validation loss achieved, saving state_dict of model to lightning_logs/cutoff_4.020250501_162620_cace_dipep_c4_dipolar/best_model_state.pth...
01/05/2025 16:45:45 Epoch 10 train_e: 0.00592529
01/05/2025 16:45:45 Epoch 10 train_f: 0.05167314
01/05/2025 16:45:45 Epoch 10 train_e_rmse: 0.00592529
01/05/2025 16:45:45 Epoch 10 train_f_rmse: 0.05167314
01/05/2025 16:45:45 Epoch 10 lr-Adam: 0.01000000
01/05/2025 16:45:45 Epoch 10 val_e_rmse: 0.00444945
01/05/2025 16:45:45 Epoch 10 val_f_rmse: 0.06873985
01/05/2025 16:47:29 Epoch 11 val_loss: 7.33065557
01/05/2025 16:47:29 Epoch 11 train_e: 0.00700811
01/05/2025 16:47:29 Epoch 11 train_f: 0.08165053
01/05/2025 16:47:29 Epoch 11 train_e_rmse: 0.00700811
01/05/2025 16:47:29 Epoch 11 train_f_rmse: 0.08165053
01/05/2025 16:47:29 Epoch 11 lr-Adam: 0.01000000
01/05/2025 16:47:29 Epoch 11 val_e_rmse: 0.00929041
01/05/2025 16:47:29 Epoch 11 val_f_rmse: 0.08419288
01/05/2025 16:49:12 Epoch 12 val_loss: 7.58437347
01/05/2025 16:49:12 Epoch 12 train_e: 0.00361048
01/05/2025 16:49:12 Epoch 12 train_f: 0.07733823
01/05/2025 16:49:12 Epoch 12 train_e_rmse: 0.00361048
01/05/2025 16:49:12 Epoch 12 train_f_rmse: 0.07733823
01/05/2025 16:49:12 Epoch 12 lr-Adam: 0.01000000
01/05/2025 16:49:12 Epoch 12 val_e_rmse: 0.01159642
01/05/2025 16:49:12 Epoch 12 val_f_rmse: 0.08522844
01/05/2025 16:50:56 Epoch 13 val_loss: 8.79049110
01/05/2025 16:50:56 Epoch 13 train_e: 0.00665273
01/05/2025 16:50:56 Epoch 13 train_f: 0.09649329
01/05/2025 16:50:56 Epoch 13 train_e_rmse: 0.00665273
01/05/2025 16:50:56 Epoch 13 train_f_rmse: 0.09649329
01/05/2025 16:50:56 Epoch 13 lr-Adam: 0.01000000
01/05/2025 16:50:56 Epoch 13 val_e_rmse: 0.01091377
01/05/2025 16:50:56 Epoch 13 val_f_rmse: 0.09211984
01/05/2025 16:52:40 Epoch 14 val_loss: 7.86032009
01/05/2025 16:52:40 Epoch 14 train_e: 0.01418727
01/05/2025 16:52:40 Epoch 14 train_f: 0.05332577
01/05/2025 16:52:40 Epoch 14 train_e_rmse: 0.01418727
01/05/2025 16:52:40 Epoch 14 train_f_rmse: 0.05332577
01/05/2025 16:52:40 Epoch 14 lr-Adam: 0.01000000
01/05/2025 16:52:40 Epoch 14 val_e_rmse: 0.02482693
01/05/2025 16:52:40 Epoch 14 val_f_rmse: 0.08067864
01/05/2025 16:54:23 Epoch 15 val_loss: 8.50592995
01/05/2025 16:54:23 Epoch 15 train_e: 0.01163281
01/05/2025 16:54:23 Epoch 15 train_f: 0.05904628
01/05/2025 16:54:23 Epoch 15 train_e_rmse: 0.01163281
01/05/2025 16:54:23 Epoch 15 train_f_rmse: 0.05904628
01/05/2025 16:54:23 Epoch 15 lr-Adam: 0.01000000
01/05/2025 16:54:23 Epoch 15 val_e_rmse: 0.01055145
01/05/2025 16:54:23 Epoch 15 val_f_rmse: 0.09058740
01/05/2025 16:56:07 Epoch 16 val_loss: 7.40802908
01/05/2025 16:56:07 Epoch 16 train_e: 0.04347130
01/05/2025 16:56:07 Epoch 16 train_f: 0.07669675
01/05/2025 16:56:07 Epoch 16 train_e_rmse: 0.04347130
01/05/2025 16:56:07 Epoch 16 train_f_rmse: 0.07669675
01/05/2025 16:56:07 Epoch 16 lr-Adam: 0.01000000
01/05/2025 16:56:07 Epoch 16 val_e_rmse: 0.00568753
01/05/2025 16:56:07 Epoch 16 val_f_rmse: 0.08532915
01/05/2025 16:57:51 Epoch 17 val_loss: 8.63924980
01/05/2025 16:57:51 Epoch 17 train_e: 0.00167024
01/05/2025 16:57:51 Epoch 17 train_f: 0.07029925
01/05/2025 16:57:51 Epoch 17 train_e_rmse: 0.00167024
01/05/2025 16:57:51 Epoch 17 train_f_rmse: 0.07029925
01/05/2025 16:57:51 Epoch 17 lr-Adam: 0.01000000
01/05/2025 16:57:51 Epoch 17 val_e_rmse: 0.00756662
01/05/2025 16:57:51 Epoch 17 val_f_rmse: 0.09191326
01/05/2025 16:59:35 Epoch 18 val_loss: 5.75751495
01/05/2025 16:59:35 Epoch 18 train_e: 0.02086197
01/05/2025 16:59:35 Epoch 18 train_f: 0.06977736
01/05/2025 16:59:35 Epoch 18 train_e_rmse: 0.02086197
01/05/2025 16:59:35 Epoch 18 train_f_rmse: 0.06977736
01/05/2025 16:59:35 Epoch 18 lr-Adam: 0.01000000
01/05/2025 16:59:35 Epoch 18 val_e_rmse: 0.01541204
01/05/2025 16:59:35 Epoch 18 val_f_rmse: 0.07205443
01/05/2025 17:01:20 Epoch 19 val_loss: 10.95676613
01/05/2025 17:01:20 Epoch 19 train_e: 0.00494779
01/05/2025 17:01:20 Epoch 19 train_f: 0.08671118
01/05/2025 17:01:20 Epoch 19 train_e_rmse: 0.00494779
01/05/2025 17:01:20 Epoch 19 train_f_rmse: 0.08671118
01/05/2025 17:01:20 Epoch 19 lr-Adam: 0.01000000
01/05/2025 17:01:20 Epoch 19 val_e_rmse: 0.00424383
01/05/2025 17:01:20 Epoch 19 val_f_rmse: 0.10433831
01/05/2025 17:03:04 Epoch 20 val_loss: 6.35304308
01/05/2025 17:03:04 Epoch 20 train_e: 0.00520875
01/05/2025 17:03:04 Epoch 20 train_f: 0.07078283
01/05/2025 17:03:04 Epoch 20 train_e_rmse: 0.00520875
01/05/2025 17:03:04 Epoch 20 train_f_rmse: 0.07078283
01/05/2025 17:03:04 Epoch 20 lr-Adam: 0.01000000
01/05/2025 17:03:04 Epoch 20 val_e_rmse: 0.00512034
01/05/2025 17:03:04 Epoch 20 val_f_rmse: 0.07890588
01/05/2025 17:04:48 Epoch 21 val_loss: 5.72123766
01/05/2025 17:04:48 Epoch 21 train_e: 0.02430264
01/05/2025 17:04:48 Epoch 21 train_f: 0.05647784
01/05/2025 17:04:48 Epoch 21 train_e_rmse: 0.02430264
01/05/2025 17:04:48 Epoch 21 train_f_rmse: 0.05647784
01/05/2025 17:04:48 Epoch 21 lr-Adam: 0.01000000
01/05/2025 17:04:48 Epoch 21 val_e_rmse: 0.00386892
01/05/2025 17:04:48 Epoch 21 val_f_rmse: 0.07506004
01/05/2025 17:06:33 Epoch 22 val_loss: 8.96919250
01/05/2025 17:06:33 Epoch 22 train_e: 0.00918496
01/05/2025 17:06:33 Epoch 22 train_f: 0.08534478
01/05/2025 17:06:33 Epoch 22 train_e_rmse: 0.00918496
01/05/2025 17:06:33 Epoch 22 train_f_rmse: 0.08534478
01/05/2025 17:06:33 Epoch 22 lr-Adam: 0.00800000
01/05/2025 17:06:33 Epoch 22 val_e_rmse: 0.00625288
01/05/2025 17:06:33 Epoch 22 val_f_rmse: 0.09383003
01/05/2025 17:08:17 Epoch 23 val_loss: 7.75887156
01/05/2025 17:08:17 Epoch 23 train_e: 0.00401921
01/05/2025 17:08:17 Epoch 23 train_f: 0.07694979
01/05/2025 17:08:17 Epoch 23 train_e_rmse: 0.00401921
01/05/2025 17:08:17 Epoch 23 train_f_rmse: 0.07694979
01/05/2025 17:08:17 Epoch 23 lr-Adam: 0.00800000
01/05/2025 17:08:17 Epoch 23 val_e_rmse: 0.00713690
01/05/2025 17:08:17 Epoch 23 val_f_rmse: 0.08729990
01/05/2025 17:10:03 Epoch 24 val_loss: 7.09609699
01/05/2025 17:10:03 Epoch 24 train_e: 0.00473183
01/05/2025 17:10:03 Epoch 24 train_f: 0.07766708
01/05/2025 17:10:03 Epoch 24 train_e_rmse: 0.00473183
01/05/2025 17:10:03 Epoch 24 train_f_rmse: 0.07766708
01/05/2025 17:10:03 Epoch 24 lr-Adam: 0.00800000
01/05/2025 17:10:03 Epoch 24 val_e_rmse: 0.00988944
01/05/2025 17:10:03 Epoch 24 val_f_rmse: 0.08255444
01/05/2025 17:11:48 Epoch 25 val_loss: 8.97848225
01/05/2025 17:11:48 Epoch 25 train_e: 0.01446208
01/05/2025 17:11:48 Epoch 25 train_f: 0.06811094
01/05/2025 17:11:48 Epoch 25 train_e_rmse: 0.01446208
01/05/2025 17:11:48 Epoch 25 train_f_rmse: 0.06811094
01/05/2025 17:11:48 Epoch 25 lr-Adam: 0.00800000
01/05/2025 17:11:48 Epoch 25 val_e_rmse: 0.01856237
01/05/2025 17:11:48 Epoch 25 val_f_rmse: 0.09073237
01/05/2025 17:13:33 Epoch 26 val_loss: 7.80709171
01/05/2025 17:13:33 Epoch 26 train_e: 0.00731252
01/05/2025 17:13:33 Epoch 26 train_f: 0.07636573
01/05/2025 17:13:33 Epoch 26 train_e_rmse: 0.00731252
01/05/2025 17:13:33 Epoch 26 train_f_rmse: 0.07636573
01/05/2025 17:13:33 Epoch 26 lr-Adam: 0.00800000
01/05/2025 17:13:33 Epoch 26 val_e_rmse: 0.00582854
01/05/2025 17:13:33 Epoch 26 val_f_rmse: 0.08744835
01/05/2025 17:15:19 Epoch 27 val_loss: 5.40651798
01/05/2025 17:15:19 Epoch 27 train_e: 0.00373342
01/05/2025 17:15:19 Epoch 27 train_f: 0.06633948
01/05/2025 17:15:19 Epoch 27 train_e_rmse: 0.00373342
01/05/2025 17:15:19 Epoch 27 train_f_rmse: 0.06633948
01/05/2025 17:15:19 Epoch 27 lr-Adam: 0.00800000
01/05/2025 17:15:19 Epoch 27 val_e_rmse: 0.00785146
01/05/2025 17:15:19 Epoch 27 val_f_rmse: 0.07209341
01/05/2025 17:17:04 Epoch 28 val_loss: 6.20615768
01/05/2025 17:17:04 Epoch 28 train_e: 0.00549370
01/05/2025 17:17:04 Epoch 28 train_f: 0.05264656
01/05/2025 17:17:04 Epoch 28 train_e_rmse: 0.00549370
01/05/2025 17:17:04 Epoch 28 train_f_rmse: 0.05264656
01/05/2025 17:17:04 Epoch 28 lr-Adam: 0.00800000
01/05/2025 17:17:04 Epoch 28 val_e_rmse: 0.01914284
01/05/2025 17:17:04 Epoch 28 val_f_rmse: 0.07325292
01/05/2025 17:18:49 Epoch 29 val_loss: 4.98504400
01/05/2025 17:18:49 Epoch 29 train_e: 0.01228965
01/05/2025 17:18:49 Epoch 29 train_f: 0.05566699
01/05/2025 17:18:49 Epoch 29 train_e_rmse: 0.01228965
01/05/2025 17:18:49 Epoch 29 train_f_rmse: 0.05566699
01/05/2025 17:18:49 Epoch 29 lr-Adam: 0.00800000
01/05/2025 17:18:49 Epoch 29 val_e_rmse: 0.01657378
01/05/2025 17:18:49 Epoch 29 val_f_rmse: 0.06575976
01/05/2025 17:20:34 Epoch 30 val_loss: 5.45288181
01/05/2025 17:20:34 Epoch 30 train_e: 0.01007236
01/05/2025 17:20:34 Epoch 30 train_f: 0.06053456
01/05/2025 17:20:34 Epoch 30 train_e_rmse: 0.01007236
01/05/2025 17:20:34 Epoch 30 train_f_rmse: 0.06053456
01/05/2025 17:20:34 Epoch 30 lr-Adam: 0.00800000
01/05/2025 17:20:34 Epoch 30 val_e_rmse: 0.00216062
01/05/2025 17:20:34 Epoch 30 val_f_rmse: 0.07338486
01/05/2025 17:22:20 Epoch 31 val_loss: 6.93307734
01/05/2025 17:22:20 Epoch 31 train_e: 0.00657446
01/05/2025 17:22:20 Epoch 31 train_f: 0.06931745
01/05/2025 17:22:20 Epoch 31 train_e_rmse: 0.00657446
01/05/2025 17:22:20 Epoch 31 train_f_rmse: 0.06931745
01/05/2025 17:22:20 Epoch 31 lr-Adam: 0.00800000
01/05/2025 17:22:20 Epoch 31 val_e_rmse: 0.00899887
01/05/2025 17:22:20 Epoch 31 val_f_rmse: 0.08196352
01/05/2025 17:24:06 Epoch 32 val_loss: 5.61282396
01/05/2025 17:24:06 Epoch 32 train_e: 0.00341689
01/05/2025 17:24:06 Epoch 32 train_f: 0.05722189
01/05/2025 17:24:06 Epoch 32 train_e_rmse: 0.00341689
01/05/2025 17:24:06 Epoch 32 train_f_rmse: 0.05722189
01/05/2025 17:24:06 Epoch 32 lr-Adam: 0.00800000
01/05/2025 17:24:06 Epoch 32 val_e_rmse: 0.01898867
01/05/2025 17:24:06 Epoch 32 val_f_rmse: 0.06908982
01/05/2025 17:25:51 Epoch 33 val_loss: 5.46981096
01/05/2025 17:25:51 Epoch 33 train_e: 0.00680090
01/05/2025 17:25:51 Epoch 33 train_f: 0.05493341
01/05/2025 17:25:51 Epoch 33 train_e_rmse: 0.00680090
01/05/2025 17:25:51 Epoch 33 train_f_rmse: 0.05493341
01/05/2025 17:25:51 Epoch 33 lr-Adam: 0.00640000
01/05/2025 17:25:51 Epoch 33 val_e_rmse: 0.00290971
01/05/2025 17:25:51 Epoch 33 val_f_rmse: 0.07343400
01/05/2025 17:27:37 Epoch 34 val_loss: 4.76506281
01/05/2025 17:27:37 Best validation loss achieved, saving state_dict of model to lightning_logs/cutoff_4.020250501_162620_cace_dipep_c4_dipolar/best_model_state.pth...
01/05/2025 17:27:37 Epoch 34 train_e: 0.00931916
01/05/2025 17:27:37 Epoch 34 train_f: 0.05965053
01/05/2025 17:27:37 Epoch 34 train_e_rmse: 0.00931916
01/05/2025 17:27:37 Epoch 34 train_f_rmse: 0.05965053
01/05/2025 17:27:37 Epoch 34 lr-Adam: 0.00640000
01/05/2025 17:27:37 Epoch 34 val_e_rmse: 0.00316048
01/05/2025 17:27:37 Epoch 34 val_f_rmse: 0.06846335
01/05/2025 17:29:22 Epoch 35 val_loss: 4.52982712
01/05/2025 17:29:22 Best validation loss achieved, saving state_dict of model to lightning_logs/cutoff_4.020250501_162620_cace_dipep_c4_dipolar/best_model_state.pth...
01/05/2025 17:29:22 Epoch 35 train_e: 0.00216022
01/05/2025 17:29:22 Epoch 35 train_f: 0.05239186
01/05/2025 17:29:22 Epoch 35 train_e_rmse: 0.00216022
01/05/2025 17:29:22 Epoch 35 train_f_rmse: 0.05239186
01/05/2025 17:29:22 Epoch 35 lr-Adam: 0.00640000
01/05/2025 17:29:22 Epoch 35 val_e_rmse: 0.00419306
01/05/2025 17:29:22 Epoch 35 val_f_rmse: 0.06655707
01/05/2025 17:31:08 Epoch 36 val_loss: 4.44628620
01/05/2025 17:31:08 Best validation loss achieved, saving state_dict of model to lightning_logs/cutoff_4.020250501_162620_cace_dipep_c4_dipolar/best_model_state.pth...
01/05/2025 17:31:08 Epoch 36 train_e: 0.01168852
01/05/2025 17:31:08 Epoch 36 train_f: 0.06052461
01/05/2025 17:31:08 Epoch 36 train_e_rmse: 0.01168852
01/05/2025 17:31:08 Epoch 36 train_f_rmse: 0.06052461
01/05/2025 17:31:08 Epoch 36 lr-Adam: 0.00640000
01/05/2025 17:31:08 Epoch 36 val_e_rmse: 0.00617360
01/05/2025 17:31:08 Epoch 36 val_f_rmse: 0.06553129
01/05/2025 17:32:55 Epoch 37 val_loss: 4.75518036
01/05/2025 17:32:55 Epoch 37 train_e: 0.01128017
01/05/2025 17:32:55 Epoch 37 train_f: 0.05302260
01/05/2025 17:32:55 Epoch 37 train_e_rmse: 0.01128017
01/05/2025 17:32:55 Epoch 37 train_f_rmse: 0.05302260
01/05/2025 17:32:55 Epoch 37 lr-Adam: 0.00640000
01/05/2025 17:32:55 Epoch 37 val_e_rmse: 0.00626582
01/05/2025 17:32:55 Epoch 37 val_f_rmse: 0.06778897
01/05/2025 17:34:42 Epoch 38 val_loss: 5.29297447
01/05/2025 17:34:42 Epoch 38 train_e: 0.00502759
01/05/2025 17:34:42 Epoch 38 train_f: 0.05704491
01/05/2025 17:34:42 Epoch 38 train_e_rmse: 0.00502759
